sale_number,sale_link,lot_number,lot_link,artist_name,artwork_title,price_usd,low_estimate_usd,high_estimate_usd
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,101,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=101&intsaleid=27993,CHRISTINA QUARLES,"ALL THA STARS MAN, THA STARS LOOK BEAUTIFUL TONITE",226792,77757,129595
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,102,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=102&intsaleid=27993,MATTHEW WONG,The Journey Home,1432030,90716,194393
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,103,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=103&intsaleid=27993,CHRIS HUEN SIN KAN,Dood Dood and Haze,121496,38878,64797
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,104,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=104&intsaleid=27993,KATHERINE BERNHARDT,Toilet Paper Summer,97197,23327,36286
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,105,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=105&intsaleid=27993,HUANG YUXING,Gyatso's Palace,550781,103676,155514
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,106,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=106&intsaleid=27993,DUAN JIANYU,Good Morning No. 5,226792,103676,129595
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,107,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=107&intsaleid=27993,IZUMI KATO,Untitled,210593,103676,194393
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,108,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=108&intsaleid=27993,MADSAKI,Marvel,356388,103676,233271
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,109,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=109&intsaleid=27993,EDDIE MARTINEZ,Island I,996589,414705,673896
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,110,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=110&intsaleid=27993,TOMOO GOKITA,Vanity Fair,485983,233271,362867
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,111,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=111&intsaleid=27993,CHEN FEI,TV Play No.1 & No.2,145795,97196,155514
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,112,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=112&intsaleid=27993,LIU YE,Woman Reading,1898574,1036764,1555146
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,113,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=113&intsaleid=27993,LIU YE,Little Devil and Knight,887729,492462,583179
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,114,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=114&intsaleid=27993,YOSHITOMO NARA,Untitled,583180,259191,388786
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,115,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=115&intsaleid=27993,YOSHITOMO NARA,PEACE ON YOUR FEET,1198758,907168,1166359
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,116,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=116&intsaleid=27993,GEORGE CONDO,The Smoking Sailor,1276516,622058,881249
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,117,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=117&intsaleid=27993,ANTONY GORMLEY,Small Shuck V,291590,207352,323988
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,118,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=118&intsaleid=27993,TETSUYA ISHIDA,Untitled,356388,233271,362867
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,119,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=119&intsaleid=27993,ZHANG XIAOGANG,Bloodline Series The Big Family No. 2,12704895,4924629,6220584
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,120,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=120&intsaleid=27993,ZHANG XIAOGANG,Living and Dying – Tomorrow is Coming,809972,712775,1101561
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,121,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=121&intsaleid=27993,HAO LIANG,Quiet Calls,965486,362867,622058
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,122,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=122&intsaleid=27993,SANYU,Chrysanthèmes blanches (White Chrysanthemums),2987176,1295955,1943932
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,123,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=123&intsaleid=27993,SANYU,Chrysanthèmes roses dans une corbeille (Pink Chrysanthemums in a Basket)...,17898435,8812494,12700359
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,124,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=124&intsaleid=27993,PAN YULIANG,Lilacs,647978,518382,777573
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,125,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=125&intsaleid=27993,GEORGETTE CHEN,Rambutans,323989,155514,259191
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,126,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=126&intsaleid=27993,PANG JIUN,The World Best Scenery - Jiang Nan,647978,116635,194393
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,127,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=127&intsaleid=27993,WU GUANZHONG,Manners of the Hometown of Lu Xun,2831662,2073528,3369483
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,128,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=128&intsaleid=27993,WU GUANZHONG,Haiying (Figure),2520632,1295955,1943932
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,129,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=129&intsaleid=27993,WU GUANZHONG,A Fountain,1245413,1010844,1270035
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,130,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=130&intsaleid=27993,WU GUANZHONG,The Garden (The Garden in Jiang-nan),2209603,1943932,3239887
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,131,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=131&intsaleid=27993,WU GUANZHONG,Tokyo in the Night,965486,777573,1036764
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,132,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=132&intsaleid=27993,VICENTE SILVA MANANSALA,Tiangge (Market Scene),965486,388786,647977
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,133,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=133&intsaleid=27993,ADRIEN-JEAN LE MAYEUR DE MERPRES,Five Women on the Beach,NA,323988,453584
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,134,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=134&intsaleid=27993,MASAMI TERAOKA,The Cloisters Venus and Pope's Workout,194393,155514,285110
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,135,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=135&intsaleid=27993,LEONARD TSUGUHARU FOUJITA,"Nu sur un lit, avec un chien (Reclining Nude with A Small Dog)",4853351,1295955,1943932
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,136,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=136&intsaleid=27993,TING YIN YUNG,Seated Lady in Green Blouse,934384,751653,1140440
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,137,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=137&intsaleid=27993,JEAN DUBUFFET,Le Fringant,777573,622058,881249
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,138,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=138&intsaleid=27993,JU MING,Taichi Series - Single Whip,518382,414705,673896
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,139,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=139&intsaleid=27993,MARY WEATHERFORD,Arcadia,388787,194393,259191
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,140,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=140&intsaleid=27993,KAZUO SHIRAGA,Henge,1121001,1036764,1555146
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,141,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=141&intsaleid=27993,LALAN,Nuit bleu (Blue Night),372587,116635,155514
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,142,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=142&intsaleid=27993,CHU TEH-CHUN,La Forêt Blanche I (The White Forest I),5475410,4535842,7127752
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,143,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=143&intsaleid=27993,ZAO WOU-KI,15.01.82 - Triptyque,12259734,9071685,15551460
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,144,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=144&intsaleid=27993,CHU TEH-CHUN,"No. 195, Avant Le Printemps (Before The Spring)",4697837,3887865,7775730
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,145,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=145&intsaleid=27993,ZAO WOU-KI,25.02.77,2209603,1555146,2332719
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,146,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=146&intsaleid=27993,CHEONG SOO PIENG,Blue Expression,178194,90716,181433
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,147,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=147&intsaleid=27993,JOSE JOYA,Time Symbol,275390,129595,207352
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,148,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=148&intsaleid=27993,HERNANDO RUIZ OCAMPO,Second Fortnight,259191,129595,207352
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,149,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=149&intsaleid=27993,ZAO WOU-KI,18.03.68,2831662,2591910,4147056
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,150,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=150&intsaleid=27993,ZAO WOU-KI,09.03.65,9811351,7775730,10367640
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,153,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=153&intsaleid=27993,WALASSE TING,I hissing in Dawn,210593,116635,194393
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,154,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=154&intsaleid=27993,RHEE SEUNDJA,For Red Poppy,647978,453584,583179
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,155,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=155&intsaleid=27993,LEE UFAN,Dialogue,647978,323988,453584
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,156,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=156&intsaleid=27993,RICHARD LIN,Painting Relief 1 March 1963,437385,323988,453584
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,157,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=157&intsaleid=27993,MARY CORSE,Untitled (White/Black Inner Band Beveled),647978,194393,323988
H16894,https://www.christies.com/en/auction/modern-and-contemporary-art-evening-sale-27993/,158,https://www.christies.com/Lotfinder/lot_details.aspx?hdnSaleID=27993&LN=158&intsaleid=27993,TAKEO YAMAGUCHI,Fu (Floating) ,680376,388786,647977
HK010116,https://www.phillips.com/auctions/auction/HK010116,1,https://www.phillips.com/detail/yayoi-kusama/HK010116/1,YAYOI KUSAMA,Pumpkin,783960,193411,322352
HK010116,https://www.phillips.com/auctions/auction/HK010116,2,https://www.phillips.com/detail/yayoi-kusama/HK010116/2,YAYOI KUSAMA,Infinity Nets,489975,154729,232093
HK010116,https://www.phillips.com/auctions/auction/HK010116,3,https://www.phillips.com/detail/xu-zhen/HK010116/3,XU ZHEN,Under Heaven – 2607F10138,51576,51576,77364
HK010116,https://www.phillips.com/auctions/auction/HK010116,4,https://www.phillips.com/detail/yoshitomo-nara/HK010116/4,YOSHITOMO NARA,Daydreamer,1557604,644704,902585
HK010116,https://www.phillips.com/auctions/auction/HK010116,5,https://www.phillips.com/detail/lee-ufan/HK010116/5,LEE UFAN,From Winds,706595,618916,747856
HK010116,https://www.phillips.com/auctions/auction/HK010116,6,https://www.phillips.com/detail/park-seobo/HK010116/6,PARK SEO-BO,Écriture No. 960406,137000,58023,83811
HK010116,https://www.phillips.com/auctions/auction/HK010116,7,https://www.phillips.com/detail/park-seobo/HK010116/7,PARK SEO-BO,Musog,80588,38682,51576
HK010116,https://www.phillips.com/auctions/auction/HK010116,8,https://www.phillips.com/detail/jean-prouve/HK010116/8,JEAN PROUVE,"Rare 'Visiteur' armchair, model no. 350",112823,96706,122494
HK010116,https://www.phillips.com/auctions/auction/HK010116,9,https://www.phillips.com/detail/kim-taeho/HK010116/9,KIM TAE-HO,Internal Rhythm 2005-21,96706,51576,77364
HK010116,https://www.phillips.com/auctions/auction/HK010116,10,https://www.phillips.com/detail/marc-newson/HK010116/10,MARC NEWSON,Prototype 'Black Hole' table,241764,128941,193411
HK010116,https://www.phillips.com/auctions/auction/HK010116,11,https://www.phillips.com/detail/hiroshi-sugimoto/HK010116/11,HIROSHI SUGIMOTO,"Lake Superior, Cascade River",241764,232093,322352
HK010116,https://www.phillips.com/auctions/auction/HK010116,12,https://www.phillips.com/detail/yuan-yuan/HK010116/12,YUAN YUAN,Meteoric Water,29012,20631,28367
HK010116,https://www.phillips.com/auctions/auction/HK010116,13,https://www.phillips.com/detail/wendell-castle/HK010116/13,WENDELL CASTLE,Unique 'Ghost Rider' rocking chair,161176,128941,193411
HK010116,https://www.phillips.com/auctions/auction/HK010116,14,https://www.phillips.com/detail/chu-tehchun/HK010116/14,CHU TEH-CHUN,Untitled,225646,232093,283670
HK010116,https://www.phillips.com/auctions/auction/HK010116,15,https://www.phillips.com/detail/zao-wouki/HK010116/15,ZAO WOU-KI,Bol et Feuilles sur Fond Rouge (Bowl and Leaves with Red Background),598285,128941,193411
HK010116,https://www.phillips.com/auctions/auction/HK010116,16,https://www.phillips.com/detail/roy-lichtenstein/HK010116/16,ROY LICHTENSTEIN,Landscape With Grass,4574818,3223519,4512926
HK010116,https://www.phillips.com/auctions/auction/HK010116,17,https://www.phillips.com/detail/alessandro-mendini/HK010116/17,ALESSANDRO MENDINI,"Early ""Poltrona di Proust"" armchair",NA,92837,119915
HK010116,https://www.phillips.com/auctions/auction/HK010116,18,https://www.phillips.com/detail/liu-wei/HK010116/18,LIU WEI,Purple Air 6,257882,244987,361034
HK010116,https://www.phillips.com/auctions/auction/HK010116,19,https://www.phillips.com/detail/anish-kapoor/HK010116/19,ANISH KAPOOR,Untitled,435820,386822,515763
HK010116,https://www.phillips.com/auctions/auction/HK010116,20,https://www.phillips.com/detail/gerhard-richter/HK010116/20,GERHARD RICHTER,Abstraktes Bild 776-1,2563342,2320934,3223519
HK010116,https://www.phillips.com/auctions/auction/HK010116,21,https://www.phillips.com/detail/george-condo/HK010116/21,GEORGE CONDO,The Homeless Hobo,474502,386822,644704
HK010116,https://www.phillips.com/auctions/auction/HK010116,22,https://www.phillips.com/detail/keith-haring/HK010116/22,KEITH HARING,Untitled,273354,180517,219199
HK010116,https://www.phillips.com/auctions/auction/HK010116,23,https://www.phillips.com/detail/andy-warhol/HK010116/23,ANDY WARHOL,Self-Portrait,474502,386822,644704
HK010116,https://www.phillips.com/auctions/auction/HK010116,24,https://www.phillips.com/detail/emilejacques-ruhlmann/HK010116/24,EMILE-JACQUES RUHLMANN,"Douze colonnettes' coffee table, model no. 1017NR",NA,109600,122494
HK010116,https://www.phillips.com/auctions/auction/HK010116,25,https://www.phillips.com/detail/emilejacques-ruhlmann/HK010116/25,EMILE-JACQUES RUHLMANN,"Spindle-legged cabinet, model no. 1525AR",NA,154729,232093
HK010116,https://www.phillips.com/auctions/auction/HK010116,26,https://www.phillips.com/detail/adrian-ghenie/HK010116/26,ADRIAN GHENIE,Elvis,706595,154729,193411
HK010116,https://www.phillips.com/auctions/auction/HK010116,27,https://www.phillips.com/detail/zeng-fanzhi/HK010116/27,ZENG FANZHI,Trauma,861324,799433,1224937
HK010116,https://www.phillips.com/auctions/auction/HK010116,28,https://www.phillips.com/detail/jean-prouve/HK010116/28,JEAN PROUVE,Standard desk',NA,41261,48997
HK010116,https://www.phillips.com/auctions/auction/HK010116,29,https://www.phillips.com/detail/michael-borremans/HK010116/29,MICHAEL BORREMANS,The Painting,381665,361034,541551
HK010116,https://www.phillips.com/auctions/auction/HK010116,30,https://www.phillips.com/detail/jean-prouve/HK010116/30,JEAN PROUVE,"Pair of ""Semi-metal"" chairs, model no. 305",NA,43840,54155
HK010116,https://www.phillips.com/auctions/auction/HK010116,31,https://www.phillips.com/detail/jean-prouve/HK010116/31,JEAN PROUVE,"Pair of ""Semi-metal"" chairs, model no. 305",NA,43840,54155
HK010116,https://www.phillips.com/auctions/auction/HK010116,32,https://www.phillips.com/detail/zhang-xiaogang/HK010116/32,ZHANG XIAOGANG,Amnesia and Memory (One Week),861324,451293,709174
HK010116,https://www.phillips.com/auctions/auction/HK010116,33,https://www.phillips.com/detail/gio-ponti/HK010116/33,GIO PONTI,"Pair of armchairs, model no. 533, designed for the ballroom of the Giulio Cesare transatlantic ocean liner",32235,11605,15473
HK010116,https://www.phillips.com/auctions/auction/HK010116,34,https://www.phillips.com/detail/takeo-yamaguchi/HK010116/34,TAKEO YAMAGUCHI,Work,153117,128941,193411
HK010116,https://www.phillips.com/auctions/auction/HK010116,35,https://www.phillips.com/detail/jean-prouve/HK010116/35,JEAN PROUVE,"Guéridon, designed for the Établissements Solvay, Dombasle",29012,28367,41261
HK010116,https://www.phillips.com/auctions/auction/HK010116,36,https://www.phillips.com/detail/jean-prouve/HK010116/36,JEAN PROUVE,Pair of “Tout Bois” chairs,NA,19341,25788
HK010116,https://www.phillips.com/auctions/auction/HK010116,37,https://www.phillips.com/detail/vittorio-zecchin/HK010116/37,VITTORIO ZECCHIN,Twelve-armed chandelier,38682,19341,25788
HK010116,https://www.phillips.com/auctions/auction/HK010116,38,https://www.phillips.com/detail/shozo-shimamoto/HK010116/38,SHOZO SHIMAMOTO,Untitled,120882,77364,103153
HK010116,https://www.phillips.com/auctions/auction/HK010116,39,https://www.phillips.com/detail/cai-guoqiang/HK010116/39,CAI GUO-QIANG,Life Beneath the Shadow: The Brahan Seer,145058,90259,116047
HK010116,https://www.phillips.com/auctions/auction/HK010116,40,https://www.phillips.com/detail/hsiao-chin/HK010116/40,HSIAO CHIN,Nel profondo delle Tenebre,61247,51576,77364
HK010116,https://www.phillips.com/auctions/auction/HK010116,41,https://www.phillips.com/detail/anish-kapoor/HK010116/41,ANISH KAPOOR,Strange Attraction (Violet),489975,451293,580233
HK010116,https://www.phillips.com/auctions/auction/HK010116,42,https://www.phillips.com/detail/finn-juhl/HK010116/42,FINN JUHL,"Early and rare 'Chieftain' armchair, model no. FJ 49 A",249823,193411,257882
HK010116,https://www.phillips.com/auctions/auction/HK010116,43,https://www.phillips.com/detail/lucie-rie/HK010116/43,LUCIE RIE,Monumental 'knitted' bowl,64470,51576,77364
HK010116,https://www.phillips.com/auctions/auction/HK010116,44,https://www.phillips.com/detail/yayoi-kusama/HK010116/44,YAYOI KUSAMA,Untitled (Silver Basket),161176,103153,154729
HK010116,https://www.phillips.com/auctions/auction/HK010116,45,https://www.phillips.com/detail/robert-goossens/HK010116/45,ROBERT GOOSSENS,"Unique mirror, designed for Yves Saint-Laurent",22565,15473,23209
HK010116,https://www.phillips.com/auctions/auction/HK010116,46,https://www.phillips.com/detail/jigger-cruz/HK010116/46,JIGGER CRUZ,Crawling from the Wreckage,48353,28367,41261
HK010116,https://www.phillips.com/auctions/auction/HK010116,47,https://www.phillips.com/detail/suh-doho/HK010116/47,SUH DO-HO,Doormat: Welcome (Amber),NA,58023,96706
HK010116,https://www.phillips.com/auctions/auction/HK010116,48,https://www.phillips.com/detail/nick-knight/HK010116/48,NICK KNIGHT,"Tatjana Patitz for Jil Sander, 1992",304300,54155,79943
HK010116,https://www.phillips.com/auctions/auction/HK010116,49,https://www.phillips.com/detail/irving-penn/HK010116/49,IRVING PENN,"Black and White Fashion (with Handbag) (Jean Patchett), New York, 1950",NA,45129,58023
HK010116,https://www.phillips.com/auctions/auction/HK010116,50,https://www.phillips.com/detail/le-corbusier-and-pierre-jeanneret/HK010116/50,LE CORBUSIER AND PIERRE JEANNERET,"Pair of 'Advocate and Press' armchairs, model no. LC/PJ-SI-41-A, from the High Court, Chandigarh",64470,43840,51576
HK010116,https://www.phillips.com/auctions/auction/HK010116,51,https://www.phillips.com/detail/fernando-campana-and-humberto-campana/HK010116/51,FERNANDO CAMPANA AND HUMBERTO CAMPANA,Panda' sofa,61247,51576,77364
HK010116,https://www.phillips.com/auctions/auction/HK010116,52,https://www.phillips.com/detail/fernando-campana-and-humberto-campana/HK010116/52,FERNANDO CAMPANA AND HUMBERTO CAMPANA,Panda Banquette' chair,35459,32235,45129
HK010116,https://www.phillips.com/auctions/auction/HK010116,53,https://www.phillips.com/detail/yves-klein/HK010116/53,YVES KLEIN,Three works: (i) Table Bleue (ii) Table d'Or (iii) Table Rose,NA,58023,83811
HK010116,https://www.phillips.com/auctions/auction/HK010116,54,https://www.phillips.com/detail/yves-klein/HK010116/54,YVES KLEIN,L'Esclave Mourant D'Après Michel-Ange (S20),45129,32235,45129
HK010116,https://www.phillips.com/auctions/auction/HK010116,55,https://www.phillips.com/detail/roy-lichtenstein/HK010116/55,ROY LICHTENSTEIN,Weisman Award (Yellow Brushstroke),88647,77364,103153
